0000001 002  -----   -----                    
0008101 100  II      before                   Z5 
0008101 110  MC      1930                     N1 T1.2 T3 T1.3 N3.2 
0008103 010  NN2     issei                    Z99 
0008103 020  JJ      japanese                 Z2 Z2/Q3 Z2/S2mfnc 
0008103 030  NN2     immigrants               M1/M7/S2mf 
0008103 040  II      in                       Z5 
0008103 050  NN2     hawaii                   Z2 
0008105 010  AT      the                      Z5 
0008105 020  NN2     issei                    Z99 
0008105 030  AT      the                      Z5 
0008105 040  NN1     world                    W1 S5+c A4.1 N5+ 
0008105 050  IO      of                       Z5 
0008105 060  AT      the                      Z5 
0008105 070  MD      first                    N4 
0008105 080  NN1     generation               T1.3 S5+c 
0008105 090  NN1     japanese                 Z2/Q3 
0008105 100  NN2     immigrants               M1/M7/S2mf 
0008105 110  MC      1885                     N1[i412.2.1 T3[i412.2.1 T1.2[i412.2.1 T1.3[i412.2.1 N3.3[i412.2.1 N3.5[i412.2.1 I1[i412.2.1 N1 T1.2 T3 T1.3 N3.2 
0008105 120  MC      1924                     N1[i412.2.2 T3[i412.2.2 T1.2[i412.2.2 T1.3[i412.2.2 N3.3[i412.2.2 N3.5[i412.2.2 I1[i412.2.2 N1 T1.2 T3 T1.3 N3.2 
0008107 010  VV0     exile                    M2/G1.2 
0008107 020  II      within                   Z5 
0008107 030  AT      the                      Z5 
0008107 040  NN1     schooling                P1 K5.1/L2 
0008107 050  IO      of                       Z5 
0008107 060  JJ      japanese                 Z2 Z2/Q3 Z2/S2mfnc 
0008107 070  NN2     americans                Z2/S2mf 
0008107 080  MC      1942                     N1[i413.2.1 T3[i413.2.1 T1.2[i413.2.1 T1.3[i413.2.1 N3.3[i413.2.1 N3.5[i413.2.1 I1[i413.2.1 N1 T1.2 T3 T1.3 N3.2 
0008107 090  MC      1945                     N1[i413.2.2 T3[i413.2.2 T1.2[i413.2.2 T1.3[i413.2.2 N3.3[i413.2.2 N3.5[i413.2.2 I1[i413.2.2 N1 T1.2 T3 T1.3 N3.2 
0008109 010  JJ      ethnic                   S5+ 
0008109 020  NN2     associations             S5+c A6.1+/X2.1 
0008109 030  CC      and                      Z5 
0008109 040  AT      the                      Z5 
0008109 050  NN1     welfare                  G1.1/S8+[i414.2.1 S8+ I1 G1.1c 
0008109 060  NN1     state                    G1.1/S8+[i414.2.2 G1.1c O4.1 
0008111 010  NN1     immigrant                M1/M7/S2mf 
0008111 020  NN2     associations             S5+c A6.1+/X2.1 
0008111 030  II      in                       Z5 
0008111 040  NN1     europe                   Z2 
0008113 010  NN1     language                 P1/Q3c[i415.2.1 Q3 Y2 
0008113 020  NN1     schooling                P1/Q3c[i415.2.2 P1 K5.1/L2 
0008113 030  CC      and                      Z5 
0008113 040  JJ      cultural                 C1 S1.1.1 S5+ 
0008113 050  NN1     conflict                 A6.1- G3 E3- 
0008113 060  AT      the                      Z5 
0008113 070  NN2     origins                  T2+ N2 
0008113 080  IO      of                       Z5 
0008113 090  AT      the                      Z5 
0008113 100  JJ      french                   Z2 
0008113 110  NN1     language                 Q3 Y2 
0008113 120  NN1     controversy              Q2.2 
0008113 130  II      in                       Z5 
0008113 140  NN1     ontario                  Z2 
0008115 010  FW      le                       Z3c 
0008115 020  NN1     creuset                  Z99 
0008115 030  NN1     franais                  Z99 
0008115 040  NN1     histoire                 Z99 
0008115 050  NP1     de                       Z5 
0008115 060  ZZ1     l                        Z5 
0008115 070  NN1     immigration              M1/M7 
0008115 080  NN1     xix-xx                   Z99 
0008115 090  NN2     sicles                   Z99 
0008117 010  MC1     one                      N1 T3 T1.2 
0008117 020  NN1     family                   S4c A4.1c 
0008117 030  MC      two                      N1 T3 T1.2 
0008117 040  NN2     worlds                   W1 S5+c A4.1 N5+ 
0008117 050  AT1     an                       Z5 
0008117 060  JJ      italian                  Z2 Z2/Q3 
0008117 070  NN1     family                   S4c A4.1c 
0008117 080  NN1     correspondence           Q1.2 A6.1+ 
0008117 090  II      across                   Z5 
0008117 100  AT      the                      Z5 
0008117 110  JJ      atlantic                 Z2 
0008117 120  MC      1901                     N1[i416.2.1 T3[i416.2.1 T1.2[i416.2.1 T1.3[i416.2.1 N3.3[i416.2.1 N3.5[i416.2.1 I1[i416.2.1 N1 T1.2 T3 T1.3 N3.2 
0008117 130  MC      1922                     N1[i416.2.2 T3[i416.2.2 T1.2[i416.2.2 T1.3[i416.2.2 N3.3[i416.2.2 N3.5[i416.2.2 I1[i416.2.2 N1 T1.2 T3 T1.3 N3.2 
0008119 010  AT      the                      Z5 
0008119 020  NN2     huguenots                S9/S2mf 
0008119 030  CC      and                      Z5 
0008119 040  NN1     ireland                  Z2 Z1mf 
0008119 050  NN1     anatomy                  B1 O4.1 Y1 
0008119 060  IO      of                       Z5 
0008119 070  AT1     an                       Z5 
0008119 080  NN1     immigration              M1/M7 
0008121 010  AT      the                      Z5 
0008121 020  JJ      new                      T3- 
0008121 030  JJ      islamic                  S9 
0008121 040  NN1     presence                 M6 A3+ S1.1.3+ S1.2 S9 
0008121 050  II      in                       Z5 
0008121 060  JJ      western                  M6 T3- 
0008121 070  NN1     europe                   Z2 
0008123 010  ZZ1     l                        Z5 
0008123 020  FW      italia                   Z2 
0008123 030  NN1     nella                    Z99 
0008123 040  NN1     societ                   Z99 
0008123 050  NN1     argentina                Z2 Z3c 
0008125 010  NN1     flight                   M5 M1 H2 
0008125 020  CC      and                      Z5 
0008125 030  NN1     integration              A1.8+ S5+ A2.2 N2% 
0008125 040  NN2     causes                   A2.2 X2.1 X4.1 
0008125 050  IO      of                       Z5 
0008125 060  JJ      mass                     N5+ 
0008125 070  NN1     exodus                   M1 S9 
0008125 080  II      from                     Z5 
0008125 090  NN1     ethiopia                 Z2 
0008125 100  CC      and                      Z5 
0008125 110  NN2     problems                 A12- X4.1 N2 B2- 
0008125 120  IO      of                       Z5 
0008125 130  NN1     integration              A1.8+ S5+ A2.2 N2% 
0008125 140  II      in                       Z5 
0008125 150  AT      the                      Z5 
0008125 160  NN1     sudan                    Z2 
0008127 010  NN1     australian               Z2/S2mf 
0008127 020  NN1     multiculturalism         S5+/N5+ 
0008127 030  AT1     a                        Z5 
0008127 040  NN1     documentary              Q4.3 
0008127 050  NN1     history                  T1.1.1 P1/T1.1.1 Q2.1 B2 
0008127 060  CC      and                      Z5 
0008127 070  NN1     critique                 X2.4/Q1.2 
0008129 010  JJ      international            M7 
0008129 020  NN1     newsletter               Q4.2 
0008129 030  II      on                       Z5 
0008129 040  NN1     migration                M1 
0008131 010  NN2     reviewers                Q4/S2mf 
0008131 020  IO      of                       Z5 
0008131 030  NN2     articles                 Q4.2 O2 Q3 G2.1/P1@ 
0008131 040  VVD     submitted                A9- S7.1- 
0008131 050  TO      to                       Z5 
0008131 060  VVI     imr                      Z99 
0008131 070  II      during                   Z5 
0008131 080  AT      the                      Z5 
0008131 090  NN1     period                   T1.3 B1 Q3 P1/T1.3 
0008131 100  NN1     april                    Z1f Z3f T1.3 
0008131 110  MC1     1                        N1 T1.2 T3 T1.3 N3.2 
0008131 120  MC      1988                     N1 T1.2 T3 T1.3 N3.2 
0008131 130  NPM1    march                    T1.3[i417.2.1 T1.3 
0008131 140  MC      31                       T1.3[i417.2.2 N1 T1.2 T3 T1.3 N3.2 N1[i418.2.1 T3[i418.2.1 T1.2[i418.2.1 T1.3[i418.2.1 N3.3[i418.2.1 N3.5[i418.2.1 I1[i418.2.1 
0008131 150  MC      1989                     N1 T1.2 T3 T1.3 N3.2 N1[i418.2.2 T3[i418.2.2 T1.2[i418.2.2 T1.3[i418.2.2 N3.3[i418.2.2 N3.5[i418.2.2 I1[i418.2.2 
0008133 010  AT      the                      Z5 
0008133 020  NN1     relationship             S3.1 S3.2 A2.2 S4 
0008133 030  IO      of                       Z5 
0008133 040  PPIO2   us                       Z8 
0008133 050  NN1     aid                      S8+ 
0008133 060  NN1     trade                    I2.2 I2.1 I3.1 I2.2/N5 
0008133 070  CC      and                      Z5 
0008133 080  NN1     investment               I1.1 
0008133 090  II      to                       Z5 
0008133 100  NN1     migration                M1 
0008133 110  NN2     pressures                N3.5 S7.1+ E6- 
0008133 120  II      in                       Z5 
0008133 130  JJ      major                    A11.1+ N3.2+ 
0008133 140  NN1@    sending                  M2 A2.2 
0008133 150  NN2     countries                M7 
0008135 010  AT      the                      Z5 
0008135 020  JJ      political                G1.2 
0008135 030  NN1     impact                   A2.2 A1.1.1 
0008135 040  IO      of                       Z5 
0008135 050  JJ      foreign                  M7 
0008135 060  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0008135 070  AT1     a                        Z5 
0008135 080  NN1     re-evaluation            Z99 
0008135 090  IO      of                       Z5 
0008135 100  AT      the                      Z5 
0008135 110  JJ      western                  M6 T3- 
0008135 120  JJ      european                 Z2 
0008135 130  NN1     experience               X2.2+ X9.1+ I3.2 A2.1+/A3+ X3 
0008137 010  ND1     west                     Z2[i419.2.1 M6 
0008137 020  JJ      indian                   Z2[i419.2.2 Z2 
0008137 030  NN1     migration                M1 
0008137 040  II      to                       Z5 
0008137 050  AT      the                      Z5 
0008137 060  JJ      united                   Z2c[i420.2.1 S5+ 
0008137 070  NN2     states                   Z2c[i420.2.2 G1.1c O4.1 
0008137 080  JJ      virgin                   S3.2 A2.1- 
0008137 090  NN2     islands                  W3 
0008137 100  JJ      demographic              S5+ 
0008137 110  NN2     impacts                  A2.2 A1.1.1 
0008137 120  CC      and                      Z5 
0008137 130  JJ      socioeconomic            S1.1.1/I2.1 
0008137 140  NN2     consequences             A2.2 
0008139 010  JJ      lebanese                 Z2 Z2/S2mfnc 
0008139 020  NN1     migration                M1 
0008139 030  CC      and                      Z5 
0008139 040  NN1     settlement               T2+[i421.2.1 M7 Q2.2 I1.2 
0008139 050  II      in                       T2+[i421.2.2 Z5 
0008139 060  NN1     sydney                   Z2 
0008139 070  NN1     australia                Z2 
0008141 010  NN1     farm                     F4/M7 
0008141 020  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0008141 030  NN2     migrations               M1 
0008141 040  II      in                       Z5 
0008141 050  AT      the                      Z5 
0008141 060  JJ      awash                    N5++ 
0008141 070  NN1     valley                   W3 
0008141 080  IO      of                       Z5 
0008141 090  NN1     ethiopia                 Z2 
0008143 010  AT      the                      Z5 
0008143 020  JJ      political                G1.2 
0008143 030  NN1     integration              A1.8+ S5+ A2.2 N2% 
0008143 040  IO      of                       Z5 
0008143 050  NN1     mexican                  Z2/S2mf 
0008143 060  NN1     american                 Z2/S2mf 
0008143 070  NN2     children                 S2mf/T3- S4mf 
0008143 080  AT1     a                        Z5 
0008143 090  JJ      generational             T1.3 S5+c 
0008143 100  NN1     analysis                 X2.4 Y1 
0008145 010  NN1     migrant-nonmigrant       Z99 
0008145 020  NN2     differentials            N2 I1 
0008145 030  II      in                       Z5 
0008145 040  JJ      socioeconomic            S1.1.1/I2.1 
0008145 050  NN1     status                   S7.1 A4.1 A11.1 
0008145 060  NN1     fertility                B1/S4 
0008145 070  CC      and                      Z5 
0008145 080  NN1     family                   S4c A4.1c 
0008145 090  VVG     planning                 X7+ 
0008145 100  II      in                       Z5 
0008145 110  JJ      nepal                    Z2 
0008147 010  NN1     desert                   W3 
0008147 020  NN2     immigrants               M1/M7/S2mf 
0008147 030  AT      the                      Z5 
0008147 040  NN2     mexicans                 Z2/S2mf 
0008147 050  IO      of                       Z5 
0008147 060  NN1     el                       M5 
0008147 070  NN1     paso                     Z99 
0008147 080  MC      1880                     N1[i422.2.1 T3[i422.2.1 T1.2[i422.2.1 T1.3[i422.2.1 N3.3[i422.2.1 N3.5[i422.2.1 I1[i422.2.1 N1 T1.2 T3 T1.3 N3.2 
